4510;Equipo;Equipo durante el período seleccionado;Posición específica;Edad;Valor de mercado (Transfermarkt);Vencimiento contrato;Partidos jugados;Minutos jugados;Goles;xG;Asistencias;xA;Duelos/90;Duelos ganados, %;País de nacimiento;Pasaporte;Pie;Altura;Peso;En prestamo;Acciones defensivas realizadas/90;Duelos defensivos/90;Duelos defensivos ganados, %;Duelos aéreos en los 90;Duelos aéreos ganados, %;Entradas/90;Posesión conquistada después de una entrada;Tiros interceptados/90;Interceptaciones/90;Posesión conquistada después de una interceptación;Faltas/90;Tarjetas amarillas;Tarjetas amarillas/90;Tarjetas rojas;Tarjetas rojas/90;Acciones de ataque exitosas/90;Goles/90;Goles (excepto los penaltis);Goles, excepto los penaltis/90;xG/90;Goles de cabeza;Goles de cabeza/90;Remates;Remates/90;Tiros a la portería, %;Goles hechos, %;Asistencias/90;Centros/90;Precisión centros, %;Centros desde la banda izquierda/90;Precisión centros desde la banda izquierda, %;Centros desde la banda derecha/90;Precisión centros desde la banda derecha, %;Centros al área pequeña/90;Regates/90;Regates realizados, %;Duelos atacantes/90;Duelos atacantes ganados, %;Toques en el área de penalti/90;Carreras en progresión/90;Aceleraciones/90;Pases largos recibidos/90;Faltas recibidas/90;Pases/90;Precisión pases, %;Pases hacia adelante/90;Precisión pases hacia adelante, %;Pases hacia atrás/90;Precision pases hacia atrás, %;Pases laterales/90;Precisión pases laterales, %;Pases cortos / medios /90;Precisión pases cortos / medios, %;Pases largos/90;Precisión pases largos, %;Longitud media pases, m;Longitud media pases largos, m;xA/90;Asistencias/90;Second assists/90;Third assists/90;Desmarques/90;Precisión desmarques, %;Jugadas claves/90;Pases en el último tercio/90;Precisión pases en el último tercio, %;Pases al área de penalti/90;Pases hacía el área pequeña, %;Pases en profundidad/90;Precisión pases en profundidad, %;Ataque en profundidad/90;Centros desde el último tercio/90;Pases progresivos/90;Precisión pases progresivos, %;Tiros libres/90;Tiros libres directos/90;Tiros libres directos, %;Córneres/90;Penaltis a favor;Penaltis realizados, %
A. Aldrete;Pumas UNAM;Pumas UNAM;LB;35;800000;2024-06-30;27;2202;0;0,24;2;3,99;11,98;58,02;Mexico;Mexico;izquierdo;178;76;no;8,62;6,34;58,71;2,62;65,63;0,49;0,68;0,04;4,41;6,09;0,61;6;0,25;0;0;1,19;0;0;0;0,01;0;0;8;0,33;25;0;0,08;2,04;40;2;40,82;0,04;0;0,33;0,33;62,5;1,35;48,48;0,29;0,45;0,12;0,65;0,41;33,35;79,17;16,68;74,26;2,66;90,77;10,67;82,76;24,28;87,88;7,03;60,47;22,86;36,33;0,16;1,31;0,04;0,04;0,12;66,67;0,2;7,03;72,67;2,29;42,86;0,69;41,18;0,25;0,86;9,85;79,67;1,59;0,08;50;1,92;0;0
E. Hajisafi;AEK Athens;AEK Athens;LB;33;800000;2024-06-30;23;1939;0;0,57;1;2,26;11,56;57,03;Iran;Iran;izquierdo;178;81;no;7,06;5,38;60,34;1,35;65,52;0,23;0,38;0,09;3,57;5,82;0,74;3;0,14;0;0;1,76;0;0;0;0,03;0;0;16;0,74;18,75;0;0,05;3,06;31,82;3,06;31,82;0;0;0,32;0,88;63,16;2,78;53,33;0,7;1,81;0,42;2,23;0,74;47,39;81;18,61;73,32;7,33;96,84;15,64;83,09;39,45;88,24;5,15;50,45;19,07;36,11;0,1;1,07;0,05;0;0,14;66,67;0,42;5,8;67,2;3,48;42,67;0,19;25;0,6;1,02;10,44;82,22;0,65;0,09;50;1,35;0;0
Mario Camora;CFR Cluj;CFR Cluj;LB, LWB;37;750000;2024-06-30;25;2078;3;1,71;1;3,05;9,36;51,39;Portugal;Portugal, Romania;izquierdo;177;69;no;7,32;4,5;61,54;0,65;26,67;0,61;0,78;0,3;3,94;5,05;0,48;1;0,04;0;0;1,86;0,13;2;0,09;0,07;0;0;16;0,69;37,5;12,5;0,04;3,46;33,75;3,46;33,75;0;0;0,61;0,78;50;2,64;42,62;0,78;0,65;0,13;1,21;0,82;38,72;78,41;14,34;72,51;5,5;89,76;13,12;82,18;31,49;86,93;3,9;47,78;19,9;34,05;0,13;0,74;0,17;0,09;0,22;20;0,39;5,41;64;3,46;46,25;0,39;33,33;0,48;1,13;9,92;77,29;0,48;0,09;50;0,74;0;0
A. Lucoqui;Hertha BSC II;Hertha BSC II;LB;26;750000;2024-06-30;5;411;0;0;0;0;30;70,59;Germany;Germany, Angola;izquierdo;180;75;no;15,88;10,59;100;3,53;100;0;0;0;5,29;10;0;2;0,44;0;0;1,76;0;0;0;0;0;0;0;0;0;0;0;5,29;33,33;3,53;50;1,76;0;0;1,76;0;10,59;33,33;0;0;0;0;5,29;30;76,47;15,88;88,89;3,53;100;5,29;66,67;21,18;83,33;3,53;100;21,54;20,56;0;0;0;0;0;0;0;3,53;100;3,53;50;1,76;100;3,53;0;8,82;100;0;0;0;0;0;0
Pedro Amaral;Lamia;Lamia;LB, LW, LCB;26;750000;2024-06-30;13;1020;1;0,11;2;1,01;14,71;45,39;Portugal;Portugal;izquierdo;178;72;no;8,23;6,48;47,76;2,32;37,5;0,1;0,11;0,19;5,03;5,74;1,55;3;0,26;0;0;2,52;0,09;1;0,1;0,01;0;0;7;0,68;28,57;14,286;0,19;3,39;31,43;3,29;32,35;0;0;0,29;1,74;61,11;4,26;45,45;0,87;1,16;0,1;0,58;1,16;35,52;73,3;14,52;62,67;3,39;97,14;11,81;77,05;27;84,59;5,32;41,82;21,29;32,65;0,1;0,87;0;0;0,19;100;0,39;4,65;62,5;3,19;48,48;0,48;40;0,58;1,35;8,42;62,07;0,97;0;0;0,1;0;0
M. Polidar;Jablonec;Jablonec;LB, LWB;24;700000;2024-06-30;15;1292;0;1,55;1;1,69;13,86;51,76;Czech Republic;Czech Republic;izquierdo;179;73;si;7,04;5,02;59,72;3,27;61,7;0,28;0,44;0,14;3,76;5,98;1,04;4;0,28;0;0;1,74;0;0;0;0,11;0;0;19;1,32;26,32;0;0,07;1,53;50;1,53;50;0;0;0,28;1,04;46,67;2,23;43,75;1,39;1,11;0,7;1,95;0,49;29,54;79,01;10,66;71,24;5,85;90,48;8,85;84,25;25,29;84,02;2,79;50;17,76;37,58;0,12;1,11;0;0;0,14;100;0,21;3,97;64,91;1,74;52;0,77;36,36;0,56;0,77;5,99;65,12;1,25;0,21;33,33;1,11;0;0
R. Kaib;Djurgården;Djurgården;LB;26;700000;2024-06-30;13;428;1;0,32;0;0,4;23,55;39,29;Sweden;Sweden, Tunisia;izquierdo;178;63;no;9,04;8,2;41,03;3,15;60;0,42;0,64;0;5,26;7,98;1,47;1;0,21;0;0;3,79;0,21;1;0,21;0,07;1;0,21;6;1,26;16,67;16,667;0;5,68;37,04;5,47;38,46;0,21;0;0,84;3,57;41,18;8,41;27,5;1,47;1,89;1,47;1,89;1,05;47,73;68,72;17,03;50,62;8,2;97,44;14,93;74,65;36,38;78,61;6,1;37,93;21,44;25,87;0,09;0,84;0;0;0;0;0,63;5,26;52;4;47,37;0,21;0;0,42;1,68;11,78;53,57;0,42;0,21;0;1,05;0;0
O. Drambaev;Osijek;Osijek;LB, LWB;22;700000;2024-06-30;19;1276;0;0,19;0;1,09;17,84;47,04;Ukraine;Ukraine;izquierdo;185;76;si;7,9;7,41;53,33;2,05;58,62;0,28;0,4;0,21;3,67;5,2;1,27;1;0,07;0;0;2,05;0;0;0;0,01;0;0;2;0,14;50;0;0;2,89;29,27;2,89;29,27;0;0;0,21;1,97;57,14;5,78;40,24;0,71;1,48;0,85;1,06;1,48;30,82;70,71;11,85;60,71;4,58;89,23;10,37;79,59;22,01;81,09;6,21;54,55;24,08;36,86;0,08;0,63;0;0,07;0,07;0;0,35;4,09;51,72;2,19;35,48;0,42;50;0,56;0,63;7,34;62,5;0;0;0;0;0;0
B. Kuipers;Go Ahead Eagles;Go Ahead Eagles;LB;29;700000;2025-06-30;21;2042;4;3,07;2;3,28;13,14;55,44;Netherlands;Netherlands;izquierdo;180;74;no;9,59;6,5;58,87;1,34;51,72;0,83;0,93;0,51;4,93;5,53;0,83;6;0,26;0;0;2,72;0,18;4;0,18;0,14;1;0,05;24;1,11;62,5;16,667;0,09;3,14;25;2,81;24,59;0,32;28,57;0,69;1,8;58,97;3,32;52,78;2,17;1,24;0,32;2,81;0,88;31,86;71,92;12,68;62,55;5,44;97,46;9,08;69,54;24,71;83,21;4,06;38,64;20,53;39,5;0,15;1,24;0,05;0,05;0,37;50;0,6;4,93;56,07;4,56;39,39;0,97;28,57;1,11;0,83;7,24;76,43;0,09;0;0;1,75;0;0
L. Pétrot;Saint-Étienne;Saint-Étienne;LB, LCB;26;700000;2025-06-30;22;2008;1;1,05;0;0,26;15,51;54,91;France;France;izquierdo;188;80;no;10,22;7,26;61,11;4,17;53,76;0,58;0,74;0,27;5,2;6,59;0,94;3;0,13;0;0;1,17;0,04;1;0,04;0,05;0;0;12;0,54;41,67;8,333;0;1,3;20,69;1,25;21,43;0,04;0;0,09;0,94;66,67;2,33;40,38;0,49;0,4;0,04;1,39;0,63;50,96;81,88;22,63;73,07;5,56;94,35;14,39;89,41;44,01;88,29;5,74;46,09;18,13;32,83;0,01;0,31;0;0;0,04;100;0;6,63;70,95;1,34;26,67;0,45;30;0,13;0,27;10,44;66,52;0;0;0;0;0;0
D. Murkin;Schalke 04;Schalke 04;LB, LCB, LW;24;700000;2024-06-30;18;1661;1;0,91;3;2,87;15,82;53,77;England;England;izquierdo;176;73;no;8,67;5,69;68,57;2,49;52,17;0,6;0,76;0,16;4,17;5,35;0,92;6;0,33;1;0,05;2,98;0,05;1;0,05;0,05;0;0;12;0,65;41,67;8,333;0,16;2,49;43,48;2,44;44,44;0,05;0;0,33;2,38;65,91;4,66;48,84;0,98;1,63;0,87;1,03;0,43;39,34;79,34;16,2;68,9;4,82;96,63;13,28;84,49;31,43;87,24;5,69;49,52;20,17;37,38;0,16;0,87;0,05;0;0,16;33,33;0,6;6,07;70,54;2,76;47,06;0,65;41,67;0,43;1,03;9,75;76,11;0,05;0;0;0,22;0;0
P. Heise;Karlsruher SC;Karlsruher SC;LB;32;700000;2024-06-30;18;1555;0;0,52;5;4,62;10,82;53,48;Germany;Germany;izquierdo;184;78;no;6,54;4,34;54,67;1,39;41,67;0,29;0,36;0,29;3,88;4,8;0,46;3;0,17;0;0;3,94;0;0;0;0,03;0;0;19;1,1;36,84;0;0,29;4,75;41,46;4,51;41,03;0,23;50;0,64;2,03;65,71;3,88;58,21;0,87;2,26;0,35;2,55;0,69;51,28;76,3;19,62;65,49;7,7;93,23;17,25;82,89;38,78;85,97;8,05;49,64;22,18;38,87;0,27;1,62;0,06;0,06;0,46;50;1,04;6,48;54,46;5,61;58,76;0,81;28,57;1,62;1,91;13,25;74,24;1,04;0,12;50;2,08;0;0
J. Pendant;Quevilly Rouen;Quevilly Rouen;LB;26;700000;2024-06-30;20;1691;0;0,42;2;1,12;14,32;50,56;France;France, Vietnam;izquierdo;177;64;no;8,89;6,65;52,8;2,5;51,06;0,05;0,07;0,11;5,32;6,68;0,69;2;0,11;0;0;1,6;0;0;0;0,02;0;0;6;0,32;50;0;0,11;1,92;44,44;1,92;44,44;0;0;0,21;1,22;47,83;3,19;31,67;0,37;1,12;0,43;1,28;0,21;37,31;79,03;15,12;67,96;6,07;95,61;10,64;85;30,28;86,47;5,27;48,48;19,71;35,64;0,06;0,53;0;0;0,16;0;0,27;6,28;66,1;2,08;41,03;0,59;27,27;0,32;0,8;8,57;70,19;0;0;0;0;0;0
Álex Muñoz;Levante;Levante;LCB, LB;29;700000;2024-06-30;20;1761;0;0,38;0;0,21;13,05;67,47;Spain;Spain;izquierdo;187;80;no;8,81;5,29;68,32;4,46;62,35;0,26;0,38;0,47;4,93;7,1;1;6;0,31;0;0;0,94;0;0;0;0,02;0;0;9;0,47;44,44;0;0;0,37;14,29;0,37;14,29;0;0;0,05;0,79;86,67;1,73;75,76;0,47;3,15;0,84;1,05;0,52;48,91;88,53;20,39;78,66;2,83;96,3;19,13;97,26;43,09;93,31;5,45;55,77;19,76;36,64;0,01;0,16;0,05;0,1;0,05;0;0,1;6,08;75,86;0,58;36,36;0,26;40;0,26;0,05;9,28;74,01;0;0;0;0;0;0
M. Moormann;Rapid Wien;Rapid Wien;LB, LCB;22;700000;2025-06-30;14;793;1;0,53;2;0,91;14,98;54,55;Austria;Austria;izquierdo;185;82;no;8,85;6,24;63,64;3,06;40,74;0,45;0,82;0,11;4,43;8,01;1,13;4;0,45;0;0;2,04;0,11;1;0,11;0,06;1;0,11;4;0,45;50;25;0,23;2,04;44,44;2,04;44,44;0;0;0,23;1,48;61,54;2,5;54,55;1,13;0,45;0;2,27;0,79;54,02;81,93;23,38;69,9;5,9;98,08;18,16;91,25;44,26;89,74;7,83;47,83;20,12;36,96;0,1;0,57;0;0;0,23;0;0,34;7,49;56,06;2,72;41,67;1,13;30;0,57;0,79;11,69;74,76;0;0;0;0;0;0
T. Ndicka;Grasshopper;Grasshopper;LB;23;700000;2024-06-30;17;972;1;0,17;0;0,71;14,17;52,29;France;France, Cameroon;izquierdo;169;66;no;7,96;5,19;66,07;1,85;55;0,09;0,12;0,19;4,44;5,95;0,56;1;0,09;0;0;2,22;0,09;1;0,09;0,02;0;0;3;0,28;33,33;33,333;0;2,78;30;2,78;30;0;0;0,19;2,78;46,67;5;46,3;0,65;1,11;0,37;1,48;1,39;25,74;69,42;11,94;63,57;3,43;91,89;7,13;70,13;20;81,48;3,15;26,47;17,89;19,73;0,07;0,28;0;0;0;0;0,28;3,8;46,34;2,22;29,17;0,37;25;0;1,02;6,02;63,08;0,09;0;0;0,09;0;0
Nilton Varela;Estrela Amadora;Estrela Amadora;LB, LAMF;22;700000;2024-06-30;13;942;0;0,52;2;0,55;19,3;51,98;Portugal;Portugal, Cape Verde Islands;izquierdo;182;78;no;7,36;6,21;63,08;2,68;42,86;0,29;0,43;0,1;3,15;4,74;1,53;1;0,1;0;0;3,15;0;0;0;0,05;0;0;6;0,57;16,67;0;0,19;2,87;33,33;2,87;33,33;0;0;0,19;3,63;57,89;7,26;50;0,67;1,15;0,19;1,15;2,1;19,97;64,11;8,31;55,17;3,63;94,74;4,97;59,62;14,52;77,63;2,77;24,14;19,72;31,34;0,05;0,48;0,1;0;0;0;0,38;3,15;48,48;2,68;35,71;0,76;0;0,19;0,96;5,54;65,52;0,1;0;0;0,1;0;0
S. Quemper;Ajaccio;Ajaccio;LB;30;700000;2024-06-30;16;1370;0;0;2;0,83;17,41;57,74;France;France;izquierdo;178;74;no;9,53;8,01;65,57;1,38;66,67;0,66;0,81;0;3,61;4,47;1,51;2;0,13;0;0;3,02;0;0;0;0;0;0;0;0;0;0;0,13;3,74;35,09;3,68;33,93;0,07;100;0,46;3,09;53,19;5,19;49,37;0,2;2,63;0,72;2,43;0,66;53,15;83,07;20,76;76,58;8,15;95,97;17,41;84,91;43,69;89,92;5,85;60,67;19,74;36,52;0,05;0,66;0;0;0,2;33,33;0,46;6,44;69,39;3,42;48,08;0,85;53,85;0,59;1,18;11,76;78,21;0;0;0;0,2;0;0
E. Mahmoud;Stade Lausanne-Ouchy;Stade Lausanne-Ouchy;LB, RAMF, RW;22;700000;2024-06-30;20;1292;2;1,28;3;1,49;27,24;50,9;France;France, Algeria;izquierdo;171;65;no;7,94;7,24;62,5;1,39;15;0,28;0,4;0;3,13;4,52;1,39;4;0,28;1;0,07;6,34;0,14;2;0,14;0,09;0;0;20;1,39;35;10;0,21;2,65;13,16;1,46;14,29;1,18;11,76;0,21;8,43;61,98;16,44;51,69;1,88;6,06;2,65;2,65;1,46;34,2;74,54;10,73;70,13;6,2;91,01;10,38;75,17;29,33;82,66;2,3;39,39;18,53;23,03;0,1;1,25;0;0;0,63;44,44;0,42;4,11;67,8;2,79;42,5;0,63;33,33;1,11;0,35;5,78;73,49;0,42;0;0;1,46;0;0
O. Zmrzlý;Slavia Praha;Slavia Praha;LB, LWB, LCB;24;700000;2024-06-30;18;1745;3;2,18;4;3,62;13,98;56,46;Czech Republic;Czech Republic;izquierdo;185;77;no;9,03;5,88;71,05;3,82;47,3;0,1;0,14;0,41;4,74;6,46;0,57;2;0,1;0;0;2,01;0,15;3;0,15;0,11;1;0,05;21;1,08;42,86;14,286;0,21;2,27;27,27;2,27;27,27;0;0;0,31;1,24;66,67;2,73;45,28;2,48;2,06;0,77;1,55;0,57;33,11;71,03;14,85;57,99;4,33;96,43;8,66;79,76;24,09;83,94;6,86;39,85;21,5;37,81;0,19;0,98;0,05;0;0,15;66,67;0,46;5,26;50;2,11;36,59;0,52;20;0,41;0,72;8,2;66,67;0,36;0,05;0;0,46;0;0
J. Opoku;?stanbul Ba?ak?ehir;?stanbul Ba?ak?ehir;LCB, LB;25;700000;2024-06-30;21;1932;3;2,49;1;0,29;17,14;60,96;England;England, Ghana;izquierdo;197;79;si;7,98;4,99;69,07;3,5;63,24;0,26;0,36;0,72;4,27;5,99;1,54;6;0,28;1;0,05;0,82;0,14;3;0,15;0,13;1;0,05;7;0,36;57,14;42,857;0,05;0,26;0;0,21;0;0,05;0;0,05;1,08;57,14;4,84;55,32;0,72;1,39;0,62;0,21;0,98;43,33;88,24;18,11;80,4;2,42;95,74;17,86;97,41;39,57;92,2;3,5;50;19,61;38,59;0,01;0,15;0;0;0;0;0,05;3,55;56,52;0,31;33,33;0,36;14,29;0,05;0,05;6,02;64,96;0;0;0;0;0;0
S. Miangue;Cercle Brugge;Cercle Brugge;LB, LCB;27;700000;2025-06-30;14;415;0;0,24;0;0,42;18;56,63;Belgium;Belgium, Congo;izquierdo;192;81;no;9,98;7,16;66,67;7,16;54,55;0;0;0,22;5,2;8,28;1,52;2;0,43;1;0,22;1,95;0;0;0;0,05;0;0;3;0,65;33,33;0;0;1,73;75;1,73;75;0;0;0,22;0,87;50;1,73;37,5;1,3;0,65;0;0,22;0,22;32,31;65,77;17,78;57,32;3,47;81,25;8,46;71,79;22,77;74,29;8,02;40,54;18,89;18,79;0,09;0,65;0;0;0;0;0,43;9,98;56,52;2,82;38,46;1,52;28,57;0,43;1,08;8,67;72,5;0;0;0;0;0;0
B. Martella;FeralpiSalò;FeralpiSalò;LCB, LB;31;650000;2025-06-30;23;2049;1;0,54;1;1,79;10,78;51,9;Italy;Italy;izquierdo;184;78;si;7,55;4,18;57,61;2,87;53,97;0,09;0,11;0,32;5,05;5,9;0,55;3;0,13;0;0;1,59;0,04;1;0,05;0,02;1;0,05;14;0,64;14,29;7,143;0,05;2,68;25,42;2,55;26,79;0,14;0;0,59;1,5;51,52;2,59;40,35;0,32;0,73;0,32;1,41;0,23;35,06;73,93;15,51;66,86;2,77;95,08;12,1;80,83;25,97;85,29;6,41;48,23;22,29;36,57;0,08;0,77;0,05;0;0,23;20;0,27;6,05;60,15;2,82;35,48;0,64;14,29;0,36;0,68;9,14;71,14;0,59;0,09;50;1,18;0;0
F. ?tefan;Sepsi;Sepsi;LB, LCB;27;650000;2024-06-30;18;1443;0;0,07;0;1,21;12,29;57,87;Romania;Romania;izquierdo;183;72;no;10,67;5,99;67,71;1,62;50;0,94;1,32;0,44;5,68;8,03;0,69;4;0,25;0;0;1,75;0;0;0;0;0;0;5;0,31;20;0;0;3,43;27,27;3,43;27,27;0;0;0,62;1;68,75;2,68;51,16;0,44;0,87;0,31;2,87;0,94;38,98;73,6;17,9;65,85;4,24;95,59;11,41;78,14;29,31;86,17;6,42;39,81;19,45;32,98;0,08;0,75;0;0;0,19;33,33;0,31;6,74;64,81;3,24;30,77;0,62;50;0,25;0,75;9,36;65,33;0,06;0,06;0;0;0;0
J. Rodríguez;Emelec;Emelec;LB;25;600000;2024-09-16;9;524;0;0,11;0;0,1;14,1;52,94;Ecuador;Ecuador;izquierdo;180;65;no;7,67;3,73;61,11;3,11;60;1,24;2,07;0,41;4,15;6,9;1,24;2;0,34;0;0;1,45;0;0;0;0,02;0;0;2;0,41;100;0;0;2,28;18,18;2,28;18,18;0;0;0,21;1,24;50;3,73;44,44;1,24;0,62;0,21;1,66;1,45;35,05;82,84;13,06;74,6;4,98;95,83;12,44;85;28,82;89,93;4,15;65;18,17;18,61;0,02;0,41;0;0;0;0;0,21;3,73;83,33;1,87;44,44;0,41;100;0,41;0,41;7,26;74,29;0,21;0;0;0;0;0
C. Cruz;Emelec;Emelec;LB;31;600000;2024-12-31;10;776;0;0,07;1;1;14,03;46,28;Ecuador;Ecuador;izquierdo;176;71;no;5,68;4,87;59,52;3,48;43,33;0,12;0,2;0,46;2,67;4,6;1,62;2;0,23;0;0;2,09;0;0;0;0,01;0;0;2;0,23;0;0;0,12;2,2;52,63;2,2;52,63;0;0;0,23;1,51;61,54;3,6;35,48;1,04;0,93;0,35;1,62;0,7;27,72;82,85;10,79;75,27;3,36;96,55;8,47;89,04;22,38;89,64;3,25;57,14;19,45;33,53;0,12;0,7;0,12;0;0;0;0,12;3,6;83,87;2,09;61,11;0,23;50;0,58;1,04;7,65;72,73;0;0;0;0;0;0
Vitor Costa;Marítimo;Marítimo;LB;29;600000;2025-06-30;14;1242;0;0,23;1;0,76;12,61;59,77;Brazil;Brazil;izquierdo;182;75;no;10,36;6,16;72,94;1,81;52;0,51;0,74;0,14;5,36;7,84;0,65;3;0,22;0;0;1,96;0;0;0;0,02;0;0;4;0,29;0;0;0,07;2,54;45,71;2,54;45,71;0;0;0,14;1,23;52,94;3,12;51,16;0,8;1,3;0,43;2,17;0,94;40,8;80,46;16,01;68,78;7,32;99,01;13,19;85,16;33,26;87,15;5,29;56,16;21,02;40,46;0,06;0,51;0;0,14;0,22;66,67;0,22;5,36;56,76;2,83;51,28;0,58;50;0,8;0,94;7,54;73,08;0;0;0;0;0;0
C. Cuevas;Universidad Católica;Universidad Católica;LW, LB, LCMF;28;600000;2024-12-31;34;2290;2;1,26;4;1,7;23,46;52,76;Chile;Chile;izquierdo;174;70;no;8,41;8,1;56,8;2,36;46,67;0,2;0,34;0,16;3,62;6,29;1,97;11;0,43;0;0;3,46;0,08;2;0,08;0,05;1;0,04;20;0,79;40;10;0,16;3,22;26,83;3,14;26,25;0,04;0;0,2;3,3;63,1;9,75;54,44;0,98;2,67;1,65;1,14;2,83;36,63;74,46;13,09;65,47;6,56;92,22;10,06;77,73;29,87;82,11;3,66;52,69;18,14;30,5;0,07;0,67;0;0,04;0,67;29,41;0,43;5,86;63,76;3,66;41,94;0,9;39,13;0,75;0,75;6,68;78,24;0,04;0;0;0,2;0;0
D. Svensson;Nordsjælland;Nordsjælland;LCMF, LDMF, LB;21;600000;2025-06-30;31;2576;2;2,01;4;6,19;14,43;54,72;Sweden;Sweden;izquierdo;178;72;no;8,52;6,67;64,4;1,71;34,69;0,21;0,31;0,24;4,02;5,85;0,8;4;0,14;0;0;1,43;0,07;1;0,03;0,07;0;0;15;0,52;33,33;13,333;0,14;1,4;30;0,91;30,77;0,45;30,77;0,38;1,26;63,89;4,26;48,36;1,22;0,31;0,07;0,52;0,98;52,9;90,55;11,74;77,38;11,98;98,25;19,18;93,44;48,63;94,47;2,97;54,12;16,43;27,69;0,22;1,43;0,07;0;0,1;33,33;0,28;5,63;84,47;1,54;52,27;0,42;75;0,7;0,35;5,17;74,32;0,59;0;0;5,35;1;100
F. Oppegård;Heracles;Heracles;LB;21;600000;2025-06-30;14;1140;0;0,3;1;1,43;20,21;50,78;Norway;Norway;izquierdo;175;71;si;8,84;6,71;61,18;2,21;39,29;0;0;0,16;4,74;5,77;0,55;1;0,08;0;0;3,87;0;0;0;0,02;0;0;4;0,32;25;0;0,08;4,34;27,27;4,34;27,27;0;0;0,55;4,26;57,41;8,29;45,71;2,21;4,18;1,97;1,89;0,95;46,89;80,98;13,03;71,52;12,16;94,16;13,03;78,18;40,26;89,22;2,68;35,29;16,87;34,44;0,11;0,79;0,08;0,16;0,16;100;0,71;2,92;81,08;2,29;34,48;0,32;25;0,24;1,18;7,5;56,84;0;0;0;0;0;0
M. Polster;Austria Wien;Austria Wien;LWB, LB;21;600000;2025-06-30;24;1548;1;1,24;4;2,57;18,44;50,17;Austria;Austria;izquierdo;183;69;no;6,02;4,38;70,83;1,1;50;0,18;0,31;0;2,74;4,59;0,49;1;0,06;0;0;4,44;0,06;1;0,06;0,08;0;0;18;1,1;33,33;5,556;0,24;3,59;33,9;3,59;33,9;0;0;0,67;4,81;59,49;9,61;44,94;1,7;1,64;0,67;1,7;1,16;29,63;74,54;5,84;62,5;6,45;90,57;10,28;71,01;23,49;82,9;2,68;52,27;18,82;31,22;0,16;1,03;0,06;0,06;0,12;0;0,79;1,58;57,69;2,98;38,78;0,18;0;0,24;1,34;4,99;56,1;0;0;0;0;0;0
B. Koumetio;Dunkerque;Dunkerque;LB;21;600000;2025-06-30;8;695;0;0,37;0;0,38;18;52,52;France;France, Cameroon;izquierdo;195;81;si;9,45;7,64;52,54;4,14;59,38;0,13;0,17;0;5,31;6,95;1,94;3;0,39;1;0,13;2,2;0;0;0;0,05;0;0;2;0,26;0;0;0;1,94;46,67;1,94;46,67;0;0;0;2,2;52,94;4,66;41,67;0,52;0,65;0,13;1,68;0,78;44,03;79,71;17,22;61,65;8,16;95,24;12,56;92,78;37,68;84,88;4,66;52,78;19,79;32,23;0,05;0,39;0;0;0,52;25;0,26;4,66;50;2,46;42,11;0,91;57,14;0,39;0,65;7,51;65,52;0;0;0;0;0;0
Dylan Tavares;Bastia;Bastia;LB, LWB;27;600000;2025-06-30;16;1389;0;0,25;2;1,08;16,26;54,18;Switzerland;Switzerland, Cape Verde Islands;izquierdo;172;60;no;8,23;6,61;58,82;1,94;43,33;0,19;0,26;0,26;4,15;5,45;1,36;2;0,13;1;0,06;2,59;0;0;0;0,02;0;0;6;0,39;33,33;0;0,13;3,3;21,57;3,3;21,57;0;0;0,32;3,05;55,32;5,64;52,87;1,04;1,36;0,58;1,62;0,97;33,56;75,87;11,21;69,36;7,52;93,1;8,36;71,32;27,93;83,53;2,53;56,41;16,62;24,15;0,07;0,52;0;0;0,26;25;0,32;3,89;76,67;2,27;37,14;0,52;37,5;0,32;0,65;7,39;70,18;0;0;0;0;0;0
L. Krajnc;Catanzaro;Catanzaro;LB, LCB;29;600000;2024-06-30;12;960;0;0;0;0,09;13,31;48,59;Slovenia;Slovenia;izquierdo;188;90;no;7,78;5,06;61,11;3,66;41,03;0,28;0,44;0,28;4,41;6,84;1,22;2;0,19;0;0;0,75;0;0;0;0;0;0;0;0;0;0;0;0,47;40;0,47;40;0;0;0,09;0,84;66,67;2,25;50;0,09;1,31;0,09;0,84;0,47;41,63;88,06;19,03;81,28;4,03;95,35;12,19;96,92;37,31;92,71;3,84;48,78;17,61;28,05;0,01;0,19;0;0;0,09;0;0;4,41;74,47;0,75;37,5;0,09;0;0,19;0,19;5,81;69,35;0;0;0;0;0;0
M. Seck;Portimonense;Portimonense;LB, LCB;27;600000;2025-06-30;15;698;0;0,07;0;0,25;17,66;47,45;Senegal;Senegal, Spain;izquierdo;176;72;no;8,9;5,67;56,82;5,8;51,11;0;0;0,26;5,67;7,42;1,55;3;0,39;0;0;1,42;0;0;0;0,01;0;0;2;0,26;0;0;0;2,45;26,32;2,45;26,32;0;0;0,13;1,29;50;3,61;39,29;0,77;0,77;0,39;1,55;0,26;30,56;70,46;12,38;54,17;6,19;95,83;7,87;81,97;24,76;79,17;3,35;38,46;22,13;27,2;0,03;0,52;0;0;0,13;100;0,13;2,97;52,17;1,55;33,33;0,26;50;0,26;0,52;7,09;61,82;0,26;0;0;0;0;0
